Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
10:07:51,2022-11-11,2711872264.0,3227343939.0,1551.79,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:41:47,2022-10-21,5216361801.0,3856514066.0,1874.26,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:54:40,2023-01-10,1245395073.0,950257051.0,2168.38,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:19:58,2023-03-08,2639310524.0,1009454370.0,603.39,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:17:33,2023-02-01,9456144690.0,6045485045.0,504.57,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:25:48,2022-11-18,7580466697.0,4383404858.0,681.18,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:30:20,2023-04-28,8410380847.0,7897192670.0,1247.68,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:37:38,2023-01-26,2680477595.0,4281356471.0,3959.52,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:20:12,2023-05-08,9536818348.0,9893129687.0,5075.62,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:01:51,2023-03-15,8451059777.0,1722676839.0,1411.99,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:29:20,2023-03-10,5531212682.0,8255987550.0,5532.31,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:02:33,2023-04-04,3943549969.0,5486873138.0,1347.79,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:01:48,2022-11-04,6335573371.0,9353914989.0,1612.67,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:55:16,2023-02-22,9057293438.0,1682464689.0,3015.18,Indian rupee,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:13:24,2023-01-18,9101815343.0,698741870.0,1278.13,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:43:06,2023-03-07,2058847055.0,9935797721.0,2474.02,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:05:34,2023-02-10,6076371898.0,4836056408.0,828.36,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:41:41,2023-05-12,9006110545.0,3269425608.0,4429.89,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:49:27,2023-03-15,6813973492.0,1339917371.0,3478.95,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:13:57,2023-04-07,1355248463.0,3751684118.0,3712.93,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:06:16,2023-04-28,9009636154.0,5033058785.0,4455.63,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:30:45,2023-03-20,6676188345.0,6524357049.0,5074.68,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:26:43,2022-11-04,4798481494.0,3157796345.0,931.32,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:31:46,2023-05-25,9560563859.0,7558386542.0,854.4,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:14:43,2023-05-16,5429069015.0,4354451576.0,1813.32,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:54:12,2022-12-22,9237437284.0,140737631.0,1444.3,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:59:28,2023-01-02,2457874549.0,1976420245.0,1425.63,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:23:42,2022-11-25,5185139809.0,7093845785.0,1448.21,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:57:33,2022-10-31,2138227211.0,5846687093.0,3287.59,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:46:28,2022-10-20,8730064403.0,6669743146.0,1008.82,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:09:17,2023-01-31,4846441224.0,2534771310.0,495.41,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:01:22,2023-01-03,3825332284.0,7209538589.0,3070.44,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:58:22,2023-01-19,2051871961.0,9436897258.0,3909.11,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:50:26,2023-02-22,5980041238.0,5182715678.0,5745.34,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:55:07,2023-04-18,1295283213.0,8391202548.0,1530.5,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:10:55,2022-10-13,6181600995.0,6106763477.0,1864.17,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:13:48,2023-02-24,1185735551.0,1716006167.0,352.97,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:58:27,2022-12-13,1751462955.0,131408312.0,359.23,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:09:16,2022-12-30,8114351207.0,4542683604.0,3890.04,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:30:47,2023-03-30,4785384226.0,5878205125.0,2225.98,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:08:29,2023-01-19,1390589196.0,6190217120.0,1531.73,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:48:00,2022-12-09,3085622900.0,7580565935.0,2375.28,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:25:18,2023-01-04,4868603338.0,4169076963.0,2044.75,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:59:53,2022-11-04,8493585540.0,3557255766.0,4604.83,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:57:19,2023-02-27,8500076039.0,5469586410.0,4244.57,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:30:19,2023-02-08,3358149233.0,5826874767.0,1382.07,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:14:41,2022-12-08,182722507.0,4568484411.0,207.25,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:10:10,2022-10-25,4808247392.0,4227166495.0,893.71,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:46:33,2022-11-25,4110713643.0,2481196076.0,546.82,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:44:13,2023-02-20,2979631833.0,7003100322.0,5738.43,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:14:35,2022-10-13,307488911.0,1977122470.0,550.47,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:18:20,2023-03-29,6719304234.0,4229361829.0,2681.91,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:44:53,2023-05-22,2809923779.0,30004259.0,2454.51,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:46:50,2023-02-02,1625272200.0,7571685131.0,749.23,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:55:19,2023-02-03,3046604107.0,7160039681.0,2342.49,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:29:01,2023-01-23,2626245405.0,724284994.0,2649.46,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:59:49,2023-03-28,8356833499.0,7023323263.0,2066.6,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:28:13,2023-05-04,8327248305.0,3552839880.0,1301.76,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:39:57,2023-03-02,8216098223.0,2327235784.0,708.23,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:13:24,2023-04-07,5095233648.0,117227648.0,927.82,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:42:10,2023-02-14,6691036990.0,8834712212.0,1360.18,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:15:39,2023-01-03,887144305.0,5739011754.0,5704.7,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:55:35,2023-03-24,3477994407.0,4370090796.0,1135.43,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:20:23,2023-03-28,8457935706.0,4103180751.0,5240.96,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:45:02,2022-10-20,1419670830.0,5293429200.0,1662.98,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:01:15,2022-10-07,9525917254.0,6279440406.0,3319.08,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:49:54,2023-03-28,9229239896.0,5402012266.0,3698.0,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:14:31,2023-01-20,3111332979.0,210790047.0,4599.03,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:44:14,2022-11-18,5558575021.0,6894070052.0,4863.06,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:20:00,2022-10-21,4414379579.0,3663313096.0,2192.21,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:19:14,2023-01-18,3997646476.0,7030091702.0,719.26,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:57:19,2023-02-24,6204110990.0,3505701699.0,3667.89,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:49:10,2022-11-04,2752477123.0,9430804295.0,981.25,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:53:33,2023-01-31,6473925406.0,9701090470.0,5790.61,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:46:37,2023-04-07,3425677063.0,8953275727.0,1179.06,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:05:54,2023-05-04,2873024541.0,8035785688.0,1131.04,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:11:24,2023-05-25,2438617614.0,5725828381.0,2088.37,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:27:26,2023-05-30,4939950626.0,7850749183.0,3004.61,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:10:09,2023-01-05,3015638606.0,543848806.0,1863.53,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:21:15,2023-01-23,1652250435.0,7352073803.0,5439.41,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:38:52,2022-10-31,2063561117.0,8441608564.0,391.79,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:54:20,2022-11-11,6381574844.0,7800524106.0,4094.45,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:28:24,2023-05-05,9442518275.0,4133919436.0,5470.29,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:59:57,2022-11-30,3636576593.0,2585134008.0,2614.53,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:40:13,2023-04-04,8766449997.0,8934009152.0,749.09,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:52:10,2023-04-18,5554660390.0,7800524106.0,5280.86,Swiss franc,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:22:10,2022-12-13,2448369956.0,5654325539.0,5646.65,Moroccan dirham,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:04:14,2023-02-03,6348429485.0,9436665412.0,3780.45,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:47:20,2023-04-21,5184172332.0,2138505015.0,2281.38,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:25:02,2022-10-10,4633782335.0,3855145219.0,3522.76,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:54:32,2023-03-07,4373334389.0,503103714.0,1905.38,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:55:49,2023-02-20,6115954602.0,581001200.0,1935.31,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:16:56,2022-12-30,1037668437.0,1651824870.0,4527.42,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:00:49,2022-12-08,549162790.0,7408330845.0,5018.79,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:16:37,2023-01-12,208122128.0,1421399503.0,2094.77,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:29:50,2022-11-03,8860605655.0,786553572.0,2721.64,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:36:04,2022-11-23,6817224080.0,1950236164.0,852.85,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:22:49,2022-11-14,4369754172.0,4533138390.0,3448.93,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:29:10,2023-03-31,6645393335.0,9287740413.0,2787.11,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:24:26,2023-03-16,1830280378.0,6692807041.0,912.25,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:10:55,2023-05-09,2173376934.0,2439871091.0,5171.72,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:03:14,2023-04-03,5383690262.0,2009095402.0,989.74,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:05:04,2023-03-29,1809282609.0,8373624164.0,422.6,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:28:49,2022-12-30,9565504831.0,9705920429.0,620.19,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:42:49,2023-05-05,9332357142.0,1068140083.0,1833.21,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:33:18,2022-10-31,5524456134.0,33820919.0,3908.15,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:38:29,2023-02-17,4116169642.0,5074132271.0,1223.46,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
